10th Avenue Bridge|http://en.wikipedia.org/wiki/10th_Avenue_Bridge|World,Describable|Describable_hard|DescribeTheWord Basic
12 Monkeys|http://en.wikipedia.org/wiki/12_Monkeys|Film,Describable,Mimeable|Describable_normal,Mimeable_normal|DescribeTheWord Basic
28 Series|http://en.wikipedia.org/wiki/28_Series|Object,Describable|Describable_normal|DescribeTheWord Basic
3D glasses|http://en.wikipedia.org/wiki/Stereoscopy#3D_viewers|Object,Describable|Describable_normal|DescribeTheWord Basic
7-Eleven|http://en.wikipedia.org/wiki/7-Eleven|World,Describable,Drawable|Describable_normal,Drawable_hard|DescribeTheWord Basic
A3R Roberts|http://en.wikipedia.org/wiki/Adam_Roberts_(British_writer)|Person,Describable|Describable_normal|DescribeTheWord Basic
A. Alberts|http://en.wikipedia.org/wiki/Albert_Alberts|Person,Describable|Describable_normal|DescribeTheWord Basic
Aarberg|http://en.wikipedia.org/wiki/Aarberg|World,Describable|Describable_easy|DescribeTheWord Basic
Aardvark|http://en.wikipedia.org/wiki/Aardvark|Animal,Nature,Describable,Drawable|Describable_normal,Drawable_normal|DescribeTheWord Basic
Aardvark||Random,Describable|Describable_normal|DescribeTheWord Basic
Aaron|http://en.wikipedia.org/wiki/Aaron_(Copt)|Person,Describable,Drawable|Describable_easy,Drawable_normal|DescribeTheWord Basic
Abandoned footwear|http://en.wikipedia.org/wiki/Abandoned_footwear|Object,Describable|Describable_hard|DescribeTheWord Basic
Abandoned||Random,Describable|Describable_normal|DescribeTheWord Basic
Abandoning||Action,Describable,Drawable|Describable_normal,Drawable_normal|DescribeTheWord Basic
Abandoning||Random,Describable|Describable_normal|DescribeTheWord Basic
Abandon||Random,Describable|Describable_easy|DescribeTheWord Basic
Abandons||Random,Describable|Describable_normal|DescribeTheWord Basic
Abashing||Action,Describable|Describable_normal|DescribeTheWord Basic
Abasing||Action,Describable|Describable_normal|DescribeTheWord Basic
A. Bates|http://en.wikipedia.org/wiki/A._Bates|Person,Describable|Describable_normal|DescribeTheWord Basic
Abbey Falls|http://en.wikipedia.org/wiki/Abbey_Falls|World,Describable|Describable_normal|DescribeTheWord Basic
Abbey Road|http://en.wikipedia.org/wiki/Abbey_Road_(street)|World,Describable|Describable_normal|DescribeTheWord Basic
Abbey Theatre|http://en.wikipedia.org/wiki/Abbey_Theatre|World,Describable|Describable_hard|DescribeTheWord Basic
Abbreviated||Random,Describable|Describable_normal|DescribeTheWord Basic
Abbreviate||Random,Describable|Describable_normal|DescribeTheWord Basic
Abbreviates||Random,Describable|Describable_normal|DescribeTheWord Basic
Abbreviating||Action,Describable|Describable_normal|DescribeTheWord Basic
Abbreviating||Random,Describable|Describable_normal|DescribeTheWord Basic
Abbreviation||Random,Describable|Describable_normal|DescribeTheWord Basic
Abbreviations||Random,Describable|Describable_normal|DescribeTheWord Basic
Abby Rhode|http://en.wikipedia.org/wiki/Sarah_Holland|Person,Describable|Describable_normal|DescribeTheWord Basic
Abdominal aorta|http://en.wikipedia.org/wiki/Abdominal_aorta|Anatomy,Nature,Describable|Describable_hard|DescribeTheWord Basic
